
陈殿生,北京航空航天大学,机械工程及自动化学院,2006.3-至 今：北京航空航天大学 机器人研究所 教授。国家电网公司电力机器人技术实验室学术委员会委员。国际仿生工程学会会员。中国机械工程学会高级会员。
王延忠,北京航空航天大学,机械工程及自动化学院,2004 至今，北京航空航天大学，机械工程及自动化学院，教授。2002年－ 2004年，北京航空航天大学，机械工程及自动化学院，副教授。1998 － 2002年，华中科技大学，副教授。1990年－ 1998年，东北大学，讲师。1985年－ 1989年，沈阳低压开关厂，工程师。中航集团动力与传输重点实验室学术委员会，委员、客座教授。中国齿轮协会专家委员会，委员。中航 120 厂，传动专家、咨询委员会专家。全国齿轮标准委员会，委员。
郑国磊,北京航空航天大学,机械工程及自动化学院,1988年至今 北京航空航天大学 机械工程及自动化学院任教。中国工程图学学会第六届理事会理事。
刘　荣,北京航空航天大学,机械工程及自动化学院,中国机械工程学会高级会员。中国电子学会高级会员。
杨　洋,北京航空航天大学,机械工程及自动化学院,北京航空航天大学机械工程及自动化学院机械设计及自动化系工作。1984.7~2002.3 西北轻工业学院机械工程系工作。中国机械工程学会高级会员。教育部高校基本办学条件建设评估专家。
丑武胜,北京航空航天大学,机械工程及自动化学院,2000.7-2006.7 北京航空航天大学机器人研究所 副教授。中国电子学会嵌入式专家委员会委员。
李　青,北京航空航天大学,机械工程及自动化学院,1993年至今 北京航空航天大学 机械工程及自动化学院 讲师。
陈志同,北京航空航天大学,机械工程及自动化学院,2000.9-2008.7 北京航空航天大学机械学院 副教授。2005年中航工业二集团 总经理鼓励桨。中国航空学会会员。
李刘合,北京航空航天大学,机械工程及自动化学院,2009/07-至今 北京航空航天大学，机械学院材料加工与控制系，教授。2001/06_2009/07 北京航空航天大学，机械学院材料加工与控制系，副教授。2003/07-2005/07 上海交通大学，材料学院，副教授。
段桂江,北京航空航天大学,机械工程及自动化学院,2001.4-2007.7 北京航空航天大学机械学院 副教授。2007.7-至今 北京航空航天大学机械学院 教授。中国质量协会理事兼学术教育工作委员会委员。中国注册质量经理专家委员会委员。中国机械工程学会高级会员。美国质量学会注册质量工程师。美国质量学会注册质量工程师授权培训讲师。
郑联语,北京航空航天大学,机械工程及自动化学院,1993/04-1994/07 ：北京航空航天大学机械工程及自动化学院，助教。1994/08-1999/07 ：北京航空航天大学机械工程及自动化学院，讲师。1999/08-2009/07 ：北京航空航天大学机械工程及自动化学院，副教授。2002/03-2002/06 ：香港城市大学制造工程与工程管理系 , 副研究员。中国机械工程学会机械工业自动化分会委员。中国机械工程学会成组与智能集成技术分会委员。中航工业柔性智能工艺装备研制中心学术委员会委员兼副主任。中国机械工程学会高级会员。
王　巍,北京航空航天大学,机械工程及自动化学院,2012.09~现在 北京航空航天大学机器人研究所 教授 机械电子工程。
袁松梅,北京航空航天大学,机械工程及自动化学院,2003.6-2005.7 ：北京航空航天大学，讲师。2005.7-2011.7 ：北京航空航天大学，副教授。2011.7-现在： 北京航空航天大学，教授。中国机械工程协会特种加工分会超声加工技术委员会。中国机械制造工艺协会绿色制造分会理事。中国制造业知识服务联盟理事。中国机电一体化技术应用协会教育培训工作委员会副主任委员。中国机械工程学会机械工业自动化分会第八届委员会委员。北京市 高效绿色数控加工工艺及装备 工程技术研究中心副主任。
战　强,北京航空航天大学,机械工程及自动化学院,2009年8月～现在：北京航空航天大学机器人研究所教授、博导。2013年9月～2014年9月：北汽福田汽车集团副总经理（挂职锻炼）。2002年7月～2009年7月：北京航空航天大学机器人研究所副教授。2001年9月～2002年7月：北京航空航天大学机器人研究所讲师。
刘方军,北京航空航天大学,机械工程及自动化学院,2007.9-至今，北京航空航天大学，机械工程及自动化学院，教授。高能束流国防重点实验室副主任。
李秀琴,北京航空航天大学,机械工程及自动化学院,1983-1985 湖南株洲南方动力机械公司 工艺计量研究所 机械设计工作。1988-至今 北京航空航天大学教学工作。
陈华伟,北京航空航天大学,机械工程及自动化学院,2007.5-至今 北京航空航天大学，副教授。2006.3-2007.5 澳大利亚卧龙贡大学 助理研究员。中国机械学会会员，国际仿生工程学会、 ASME 、 JSME 会员等。
蔡　军,北京航空航天大学,机械工程及自动化学院,国际仿生工程学会发起会员（ ISBE 会员号： FM008 ）。美国机械工程学会会员（ ASME 会员号： 100423736 ）。美国化学协会会员（ ACS 会员号： 30262975 ）。中国机械工程学会高级会员（证书： No. 01062027 ）。
魏洪兴,北京航空航天大学,机械工程及自动化学院,2013.08-至今 北京航空航天大学 机械工程及自动化学院 教授。2004.07-2013.07 北京航空航天大学 机械工程及自动化学院 副教授。中国电子学会、中国计算机学会 高级会员， IEEE 会员。中国电子学会 物联网专家委员会 委员。北京嵌入式技术协会 专家委员会 委员。
宁　涛,北京航空航天大学,机械工程及自动化学院,1998年至今：北京航空航天大学副教授。中国图学会理事。
郭连水,北京航空航天大学,机械工程及自动化学院,北京航空航天大学机械工程及自动化学院任教。
肖立峰,北京航空航天大学,机械工程及自动化学院,北京图学会副秘书长。
夏继强,北京航空航天大学,机械工程及自动化学院,1999年12月-今：北航机械工程及自动化学院副教授。机械工程学会 高级会员。机械工程学会机械工业自动化分会委员。
王秀凤,北京航空航天大学,机械工程及自动化学院,2006-2008年， 每年两周在德国 EADS 创新技术研发中心客座研究者。
于靖军,北京航空航天大学,机械工程及自动化学院,2004.06-2005.08 北京航空航天大学机器人研究所 讲师。2014.08 至今 北京航空航天大学机器人研究所 教授。中国机械工程学会机械设计分会第四届理事，机械设计编委。
祁晓野,北京航空航天大学,机械工程及自动化学院,2009.09~今，北京航空航天大学，机械工程及自动化学院，副教授。1982.07~1983.09 ，东北重型机械学院，助教。中国航空学会液压与气动分会委员。中国机械工程学会高级会员/流体传动分会委员。中国人工智能学会智能空天系统专委会委员。
马良书,北京航空航天大学,机械工程及自动化学院,清华大学吴冠中艺术研究中心研究员。
杨　民,北京航空航天大学,机械工程及自动化学院,北京航空航天大学 机械工程及自动化学院 讲师 2006.7~2007.6。北京航空航天大学 机械工程及自动化学院 副教授 2007.7~。国家射线数字化成像仪器中心专家委员会委员。中国体视学会 CT 理论与应用分会常务委员。
刘　达,北京航空航天大学,机械工程及自动化学院,中国仪器仪表学会医疗仪器分会理事。中国电子学会生命电子学分会理事。美国综合与比较生物力学协会会员。
胡少兴,北京航空航天大学,机械工程及自动化学院,北京工程图学学会标准化委员会委员。
李小强,北京航空航天大学,机械工程及自动化学院,2010/10-2014/7 ：北京航空航天大学讲师。2014/7 至今：北京航空航天大学副教授。中国机械工程学会会员。美国机械工程师学会会员。
王亚平,北京航空航天大学,机械工程及自动化学院,1977年7月至今在北航工作。在贵州云马机械厂工作。
张　俐,北京航空航天大学,机械工程及自动化学院,2001.11-至 今 北京航空航天大学，高级工程师。1990.08-1995.12 北京青云航空仪表公司，工程师，科研中心副主任。1983.07-1990.07 中国航空精密机械研究所，助理工程师，工程师。中国机械工程师协会高级会员。
梁建宏,北京航空航天大学,机械工程及自动化学院,2007-2012年 北京航空航天大学 机械工程及自动化学院讲师。2012-至今： 北京航空航天大学 机械工程及自动化学院副教授。
闫光荣,北京航空航天大学,机械工程及自动化学院,研究中心主任等职务。
杜福洲,北京航空航天大学,机械工程及自动化学院,2007年至今 北京航空航天大学机械工程及自动化学院任教。
李大寨,北京航空航天大学,机械工程及自动化学院,中国工业设计协会 理事 兼装备委员会秘书长副主任。中国生态学会 会员。中国电影电视技术学会影视美术委员会 常务委员。北京工业设计促进会 理事会监事。
