Name,url
章梓雄,http://me.sjtu.edu.cn/XiaoYou_ml/showMore.aspx?cid=1&id=57&mid=310
寇新建,http://naoce.sjtu.edu.cn/zc/2701.html
付功义,http://naoce.sjtu.edu.cn/zc/1740.html
刘西拉,http://naoce.sjtu.edu.cn/xyxw/3882.html
徐永福,http://naoce.sjtu.edu.cn/zc/1777.html
赵金城,http://naoce.sjtu.edu.cn/zc/1197.html
丁祖荣,http://em.sjtu.edu.cn/fluid/index.htm
鲁传敬,http://www.sjtu.edu.cn/info/1296/21824.htm
何友声,http://www.sjtu.edu.cn/info/1599/28043.htm
李中华,http://www.sjtu.edu.cn/info/1822/69906.htm
刘桦,http://oe.sjtu.edu.cn/index.php/Home/article/detailPage/parentID/1618/cat_id/1710
薛雷平,http://naoce.sjtu.edu.cn/axf/1715.html
080103流体力学,http://em.sjtu.edu.cn/jingpin/
孙国钧,http://www.sjtu.edu.cn/xbdh/yhdl/ksjfk.htm
叶取源,http://www.sjtu.edu.cn/info/1161/5905.htm
喻国良,http://naoce.sjtu.edu.cn/cbhygcxjsml/1631.html
单雪雄,http://em.sjtu.edu.cn/jingpin/jieshao/content_shan.htm
王熙,http://naoce.sjtu.edu.cn/axf/1711.html
吴长春,
姜淳,http://loct.sjtu.edu.cn/CN/show.aspx?info_lb=61&info_id=262&flag=3
刘佩林,http://www.seiee.sjtu.edu.cn/seiee/list/10-1-20.htm
苏翼凯,http://www.sjtu.edu.cn/info/1820/57926.htm
周玉洁,
程浩忠,http://www.sjtu.edu.cn/info/1151/1918.htm
肖石林,http://front.sjtu.edu.cn/~slxiao/
许金泉,http://naoce.sjtu.edu.cn/axf/1714.html
李格,http://www.seiee.sjtu.edu.cn/tw/info/5689.htm
曾贵华,http://loct.sjtu.edu.cn/CN/teacher.aspx?info_lb=61&flag=3
唐厚君,http://eei.sjtu.edu.cn/Show.aspx?info_id=324&info_lb=546&flag=490
姚若萍,http://eei.sjtu.edu.cn/Show.aspx?info_id=334&info_lb=582&flag=490
毛军发,http://www.sjtu.edu.cn/info/1151/1935.htm
胡卫生,http://www.sjtu.edu.cn/info/1143/1778.htm
杜新华,http://www.sjtu.edu.cn/info/1246/20962.htm
陆松年,http://www.sjtu.edu.cn/info/1738/70537.htm
余松煜,http://www.sjtu.edu.cn/xbdh/yjdh/yx.htm
张文军,http://www.sjtu.edu.cn/info/1815/57880.htm
朱杰,http://wnt.sjtu.edu.cn/sps/teacher.html
黄佩伟,http://www.seiee.sjtu.edu.cn/seiee/info/10066.htm
孙军,http://www.agri.sjtu.edu.cn/Data/View/2325
蒋铃鸽,
范戈,http://law.sjtu.edu.cn/TeacherDetail143.aspx
陈建平,http://www.sjtu.edu.cn/info/1142/21133.htm
伍民友,https://acm.sjtu.edu.cn/%E7%8F%AD%E7%BA%A7%E4%BB%8B%E7%BB%8D/%E4%BB%BB%E8%AF%BE%E6%95%99%E5%B8%88/%E5%B8%B8%E4%BB%BB%E6%95%99%E5%B8%88/%E4%BC%8D%E6%B0%91%E5%8F%8B
卢宏涛,https://acm.sjtu.edu.cn/%E7%8F%AD%E7%BA%A7%E4%BB%8B%E7%BB%8D/%E4%BB%BB%E8%AF%BE%E6%95%99%E5%B8%88/%E5%B8%B8%E4%BB%BB%E6%95%99%E5%B8%88/%E5%8D%A2%E5%AE%8F%E6%B6%9B
曹珍富,http://www.sjtu.edu.cn/info/1143/1803.htm
陈克非,http://www.hznu.edu.cn/szdw/gdrc/340168.shtml
谷大武,https://acm.sjtu.edu.cn/%E7%8F%AD%E7%BA%A7%E4%BB%8B%E7%BB%8D/%E4%BB%BB%E8%AF%BE%E6%95%99%E5%B8%88/%E5%B8%B8%E4%BB%BB%E6%95%99%E5%B8%88/%E8%B0%B7%E5%A4%A7%E6%AD%A6
李明禄,http://www.sjtu.edu.cn/info/1267/11353.htm
来学嘉,https://acm.sjtu.edu.cn/%E7%8F%AD%E7%BA%A7%E4%BB%8B%E7%BB%8D/%E4%BB%BB%E8%AF%BE%E6%95%99%E5%B8%88/%E5%B8%B8%E4%BB%BB%E6%95%99%E5%B8%88/%E6%9D%A5%E5%AD%A6%E5%98%89
吕宝粮,https://acm.sjtu.edu.cn/%E7%8F%AD%E7%BA%A7%E4%BB%8B%E7%BB%8D/%E4%BB%BB%E8%AF%BE%E6%95%99%E5%B8%88/%E5%B8%B8%E4%BB%BB%E6%95%99%E5%B8%88/%E5%90%95%E5%AE%9D%E7%B2%AE
马利庄,http://www.sjtu.edu.cn/info/1143/1826.htm
黄林鹏,http://loct.sjtu.edu.cn/CN/teacher.aspx?info_lb=71&flag=3
谢康林,http://alumni.sjtu.edu.cn/newalu/gdxyshow.php?id=127
王少杰,
马范援,http://ssc.sjtu.edu.cn/cms/zhongxinjieshao/jiaowuchu/2014/0702/150.html
